run,model,sb,score,AUROC,AUPR,nAUPR
1,ecnn3,1,un_vac,0.79150390625,0.63427734375,0.537109375
1,ecnn3,3,un_vac,0.662109375,0.62548828125,0.4765625
1,ecnn3,4,un_vac,0.76904296875,0.7978515625,0.67041015625
1,ecnn3,5,un_vac,0.77880859375,0.64013671875,0.54443359375
1,ecnn3,6,un_vac,0.669921875,0.7001953125,0.54443359375
1,ecnn3,7,un_vac,0.75341796875,0.712890625,0.58203125
1,ecnn3,8,un_vac,0.62841796875,0.68798828125,0.499755859375
1,ecnn3,10,un_vac,0.74658203125,0.7451171875,0.60693359375
1,ecnn3,1,un_diss,0.71337890625,0.5107421875,0.381591796875
1,ecnn3,3,un_diss,0.6806640625,0.59814453125,0.438232421875
1,ecnn3,4,un_diss,0.6640625,0.69873046875,0.50927734375
1,ecnn3,5,un_diss,0.744140625,0.54638671875,0.425537109375
1,ecnn3,6,un_diss,0.626953125,0.63525390625,0.4453125
1,ecnn3,7,un_diss,0.66650390625,0.60546875,0.42626953125
1,ecnn3,8,un_diss,0.6416015625,0.67626953125,0.48046875
1,ecnn3,10,un_diss,0.720703125,0.6982421875,0.53369140625
2,ecnn0,1,un_nentropy,0.798828125,0.61328125,0.5263671875
2,ecnn0,3,un_nentropy,0.70458984375,0.6494140625,0.50634765625
2,ecnn0,4,un_nentropy,0.71044921875,0.75634765625,0.603515625
2,ecnn0,5,un_nentropy,0.7646484375,0.62646484375,0.5224609375
2,ecnn0,6,un_nentropy,0.6640625,0.67041015625,0.51220703125
2,ecnn0,7,un_nentropy,0.7578125,0.70068359375,0.57470703125
2,ecnn0,8,un_nentropy,0.65087890625,0.72314453125,0.5361328125
2,ecnn0,10,un_nentropy,0.7197265625,0.69287109375,0.54296875
2,ecnn0,1,un_nnmp,0.80078125,0.61376953125,0.52685546875
2,ecnn0,3,un_nnmp,0.703125,0.6494140625,0.505859375
2,ecnn0,4,un_nnmp,0.70849609375,0.75732421875,0.6044921875
2,ecnn0,5,un_nnmp,0.7607421875,0.62109375,0.515625
2,ecnn0,6,un_nnmp,0.658203125,0.6591796875,0.495849609375
2,ecnn0,7,un_nnmp,0.75537109375,0.69873046875,0.57177734375
2,ecnn0,8,un_nnmp,0.6494140625,0.72119140625,0.53271484375
2,ecnn0,10,un_nnmp,0.72216796875,0.69921875,0.55322265625
2,ecnn1,1,un_nentropy,0.79150390625,0.638671875,0.53857421875
2,ecnn1,3,un_nentropy,0.70654296875,0.63623046875,0.4990234375
