run,model,sb,state,day,period,acc
1,ecnn2,6,val,1,AM,0.7060546875
1,ecnn2,6,val,1,PM,0.68408203125
1,ecnn2,6,val,2,AM,0.685546875
1,ecnn2,6,val,2,PM,0.70556640625
1,ecnn2,6,test,3,AM,0.4326171875
1,ecnn2,6,test,3,PM,0.578125
1,ecnn2,6,test,4,AM,0.548828125
1,ecnn2,6,test,4,PM,0.471435546875
1,ecnn2,6,test,5,AM,0.179443359375
1,ecnn2,6,test,5,PM,0.404541015625
1,ecnn2,7,val,1,AM,0.465576171875
1,ecnn2,7,val,1,PM,0.57275390625
1,ecnn2,7,val,2,AM,0.53369140625
1,ecnn2,7,val,2,PM,0.63671875
1,ecnn2,7,test,3,AM,0.441162109375
1,ecnn2,7,test,3,PM,0.5009765625
1,ecnn2,7,test,4,AM,0.431396484375
1,ecnn2,7,test,4,PM,0.4033203125
1,ecnn2,7,test,5,AM,0.4208984375
1,ecnn2,7,test,5,PM,0.454833984375
1,ecnn2,8,val,1,AM,0.69140625
1,ecnn2,8,val,1,PM,0.66748046875
1,ecnn2,8,val,2,AM,0.5908203125
1,ecnn2,8,val,2,PM,0.6787109375
1,ecnn2,8,test,3,AM,0.329833984375
1,ecnn2,8,test,3,PM,0.333984375
1,ecnn2,8,test,4,AM,0.48291015625
1,ecnn2,8,test,4,PM,0.421875
1,ecnn2,8,test,5,AM,0.449462890625
1,ecnn2,8,test,5,PM,0.3896484375
1,ecnn2,10,val,1,AM,0.611328125
1,ecnn2,10,val,1,PM,0.75634765625
1,ecnn2,10,val,2,AM,0.623046875
1,ecnn2,10,val,2,PM,0.60546875
1,ecnn2,10,test,3,AM,0.43408203125
1,ecnn2,10,test,3,PM,0.365234375
1,ecnn2,10,test,4,AM,0.397705078125
1,ecnn2,10,test,4,PM,0.56640625
1,ecnn2,10,test,5,AM,0.44873046875
1,ecnn2,10,test,5,PM,0.323486328125
1,ecnn3,1,val,1,AM,0.71728515625
1,ecnn3,1,val,1,PM,0.7255859375
1,ecnn3,1,val,2,AM,0.744140625
1,ecnn3,1,val,2,PM,0.75048828125
1,ecnn3,1,test,3,AM,0.6474609375
1,ecnn3,1,test,3,PM,0.53466796875
1,ecnn3,1,test,4,AM,0.67919921875
1,ecnn3,1,test,4,PM,0.6875
1,ecnn3,1,test,5,AM,0.64501953125
1,ecnn3,1,test,5,PM,0.62353515625
1,ecnn3,3,val,1,AM,0.685546875
1,ecnn3,3,val,1,PM,0.7734375
1,ecnn3,3,val,2,AM,0.79248046875
1,ecnn3,3,val,2,PM,0.78125
1,ecnn3,3,test,3,AM,0.68603515625
1,ecnn3,3,test,3,PM,0.5634765625
1,ecnn3,3,test,4,AM,0.4482421875
1,ecnn3,3,test,4,PM,0.54443359375
1,ecnn3,3,test,5,AM,0.54638671875
1,ecnn3,3,test,5,PM,0.39208984375
1,ecnn3,4,val,1,AM,0.6953125
1,ecnn3,4,val,1,PM,0.75830078125
1,ecnn3,4,val,2,AM,0.7529296875
1,ecnn3,4,val,2,PM,0.82861328125
1,ecnn3,4,test,3,AM,0.423828125
1,ecnn3,4,test,3,PM,0.3798828125
1,ecnn3,4,test,4,AM,0.386962890625
1,ecnn3,4,test,4,PM,0.410888671875
1,ecnn3,4,test,5,AM,0.40283203125
1,ecnn3,4,test,5,PM,0.415771484375
1,ecnn3,5,val,1,AM,0.890625
1,ecnn3,5,val,1,PM,0.8076171875
1,ecnn3,5,val,2,AM,0.8662109375
1,ecnn3,5,val,2,PM,0.86083984375
1,ecnn3,5,test,3,AM,0.62646484375
1,ecnn3,5,test,3,PM,0.72021484375
1,ecnn3,5,test,4,AM,0.5537109375
1,ecnn3,5,test,4,PM,0.64501953125
1,ecnn3,5,test,5,AM,0.62158203125
1,ecnn3,5,test,5,PM,0.6337890625
1,ecnn3,6,val,1,AM,0.83837890625
1,ecnn3,6,val,1,PM,0.81982421875
1,ecnn3,6,val,2,AM,0.81787109375
1,ecnn3,6,val,2,PM,0.80810546875
1,ecnn3,6,test,3,AM,0.4423828125
1,ecnn3,6,test,3,PM,0.60791015625
1,ecnn3,6,test,4,AM,0.5859375
1,ecnn3,6,test,4,PM,0.533203125
1,ecnn3,6,test,5,AM,0.19482421875
1,ecnn3,6,test,5,PM,0.3818359375
1,ecnn3,7,val,1,AM,0.6435546875
1,ecnn3,7,val,1,PM,0.708984375
1,ecnn3,7,val,2,AM,0.6337890625
1,ecnn3,7,val,2,PM,0.71728515625
1,ecnn3,7,test,3,AM,0.5517578125
1,ecnn3,7,test,3,PM,0.5732421875
1,ecnn3,7,test,4,AM,0.38623046875
1,ecnn3,7,test,4,PM,0.51171875
1,ecnn3,7,test,5,AM,0.462158203125
1,ecnn3,7,test,5,PM,0.473388671875
1,ecnn3,8,val,1,AM,0.78369140625
1,ecnn3,8,val,1,PM,0.7431640625
1,ecnn3,8,val,2,AM,0.71923828125
1,ecnn3,8,val,2,PM,0.80615234375
1,ecnn3,8,test,3,AM,0.2493896484375
1,ecnn3,8,test,3,PM,0.373046875
1,ecnn3,8,test,4,AM,0.48193359375
1,ecnn3,8,test,4,PM,0.452392578125
1,ecnn3,8,test,5,AM,0.4814453125
1,ecnn3,8,test,5,PM,0.456787109375
1,ecnn3,10,val,1,AM,0.78857421875
1,ecnn3,10,val,1,PM,0.87255859375
1,ecnn3,10,val,2,AM,0.70703125
1,ecnn3,10,val,2,PM,0.646484375
1,ecnn3,10,test,3,AM,0.412353515625
1,ecnn3,10,test,3,PM,0.40625
1,ecnn3,10,test,4,AM,0.398681640625
1,ecnn3,10,test,4,PM,0.6220703125
1,ecnn3,10,test,5,AM,0.477783203125
1,ecnn3,10,test,5,PM,0.342529296875
2,ecnn0,1,val,1,AM,0.7822265625
2,ecnn0,1,val,1,PM,0.78857421875
2,ecnn0,1,val,2,AM,0.8046875
2,ecnn0,1,val,2,PM,0.80517578125
2,ecnn0,1,test,3,AM,0.689453125
2,ecnn0,1,test,3,PM,0.5361328125
2,ecnn0,1,test,4,AM,0.72900390625
2,ecnn0,1,test,4,PM,0.74267578125
2,ecnn0,1,test,5,AM,0.673828125
2,ecnn0,1,test,5,PM,0.68115234375
2,ecnn0,3,val,1,AM,0.779296875
2,ecnn0,3,val,1,PM,0.76904296875
2,ecnn0,3,val,2,AM,0.83447265625
2,ecnn0,3,val,2,PM,0.845703125
2,ecnn0,3,test,3,AM,0.70263671875
2,ecnn0,3,test,3,PM,0.54931640625
2,ecnn0,3,test,4,AM,0.339599609375
2,ecnn0,3,test,4,PM,0.55322265625
2,ecnn0,3,test,5,AM,0.56640625
2,ecnn0,3,test,5,PM,0.427734375
2,ecnn0,4,val,1,AM,0.65966796875
2,ecnn0,4,val,1,PM,0.74462890625
2,ecnn0,4,val,2,AM,0.72119140625
2,ecnn0,4,val,2,PM,0.810546875
2,ecnn0,4,test,3,AM,0.42431640625
2,ecnn0,4,test,3,PM,0.3857421875
2,ecnn0,4,test,4,AM,0.393798828125
2,ecnn0,4,test,4,PM,0.41455078125
2,ecnn0,4,test,5,AM,0.39111328125
2,ecnn0,4,test,5,PM,0.411376953125
2,ecnn0,5,val,1,AM,0.9365234375
2,ecnn0,5,val,1,PM,0.87646484375
2,ecnn0,5,val,2,AM,0.90087890625
2,ecnn0,5,val,2,PM,0.93408203125
2,ecnn0,5,test,3,AM,0.59521484375
2,ecnn0,5,test,3,PM,0.708984375
2,ecnn0,5,test,4,AM,0.491455078125
2,ecnn0,5,test,4,PM,0.64697265625
2,ecnn0,5,test,5,AM,0.63818359375
2,ecnn0,5,test,5,PM,0.66064453125
2,ecnn0,6,val,1,AM,0.8720703125
2,ecnn0,6,val,1,PM,0.82275390625
2,ecnn0,6,val,2,AM,0.84033203125
2,ecnn0,6,val,2,PM,0.8212890625
2,ecnn0,6,test,3,AM,0.468994140625
2,ecnn0,6,test,3,PM,0.60791015625
2,ecnn0,6,test,4,AM,0.6015625
2,ecnn0,6,test,4,PM,0.5390625
2,ecnn0,6,test,5,AM,0.2431640625
2,ecnn0,6,test,5,PM,0.4189453125
2,ecnn0,7,val,1,AM,0.64306640625
2,ecnn0,7,val,1,PM,0.76318359375
2,ecnn0,7,val,2,AM,0.66357421875
2,ecnn0,7,val,2,PM,0.72412109375
2,ecnn0,7,test,3,AM,0.5771484375
2,ecnn0,7,test,3,PM,0.5771484375
2,ecnn0,7,test,4,AM,0.438720703125
2,ecnn0,7,test,4,PM,0.50830078125
2,ecnn0,7,test,5,AM,0.488037109375
2,ecnn0,7,test,5,PM,0.49462890625
2,ecnn0,8,val,1,AM,0.8046875
2,ecnn0,8,val,1,PM,0.77880859375
2,ecnn0,8,val,2,AM,0.74755859375
2,ecnn0,8,val,2,PM,0.8720703125
2,ecnn0,8,test,3,AM,0.2120361328125
2,ecnn0,8,test,3,PM,0.3388671875
2,ecnn0,8,test,4,AM,0.494140625
2,ecnn0,8,test,4,PM,0.46923828125
2,ecnn0,8,test,5,AM,0.417236328125
2,ecnn0,8,test,5,PM,0.38525390625
2,ecnn0,10,val,1,AM,0.78662109375
2,ecnn0,10,val,1,PM,0.85400390625
2,ecnn0,10,val,2,AM,0.720703125
2,ecnn0,10,val,2,PM,0.64794921875
2,ecnn0,10,test,3,AM,0.458740234375
2,ecnn0,10,test,3,PM,0.43017578125
2,ecnn0,10,test,4,AM,0.461669921875
2,ecnn0,10,test,4,PM,0.66259765625
2,ecnn0,10,test,5,AM,0.473876953125
2,ecnn0,10,test,5,PM,0.35888671875
2,ecnn1,1,val,1,AM,0.72021484375
2,ecnn1,1,val,1,PM,0.732421875
2,ecnn1,1,val,2,AM,0.77490234375
2,ecnn1,1,val,2,PM,0.76708984375
2,ecnn1,1,test,3,AM,0.6591796875
2,ecnn1,1,test,3,PM,0.454345703125
2,ecnn1,1,test,4,AM,0.7314453125
2,ecnn1,1,test,4,PM,0.71923828125
2,ecnn1,1,test,5,AM,0.6435546875
2,ecnn1,1,test,5,PM,0.65283203125
2,ecnn1,3,val,1,AM,0.70068359375
2,ecnn1,3,val,1,PM,0.8115234375
2,ecnn1,3,val,2,AM,0.82861328125
2,ecnn1,3,val,2,PM,0.82958984375
2,ecnn1,3,test,3,AM,0.71728515625
2,ecnn1,3,test,3,PM,0.57275390625
2,ecnn1,3,test,4,AM,0.480712890625
2,ecnn1,3,test,4,PM,0.56494140625
2,ecnn1,3,test,5,AM,0.5458984375
2,ecnn1,3,test,5,PM,0.384033203125
2,ecnn1,4,val,1,AM,0.64208984375
2,ecnn1,4,val,1,PM,0.71240234375
2,ecnn1,4,val,2,AM,0.74072265625
2,ecnn1,4,val,2,PM,0.787109375
2,ecnn1,4,test,3,AM,0.43603515625
2,ecnn1,4,test,3,PM,0.39501953125
2,ecnn1,4,test,4,AM,0.404052734375
2,ecnn1,4,test,4,PM,0.438720703125
2,ecnn1,4,test,5,AM,0.421630859375
2,ecnn1,4,test,5,PM,0.4248046875
2,ecnn1,5,val,1,AM,0.89599609375
2,ecnn1,5,val,1,PM,0.8271484375
2,ecnn1,5,val,2,AM,0.87841796875
2,ecnn1,5,val,2,PM,0.89208984375
2,ecnn1,5,test,3,AM,0.6103515625
2,ecnn1,5,test,3,PM,0.71630859375
2,ecnn1,5,test,4,AM,0.50341796875
2,ecnn1,5,test,4,PM,0.6474609375
2,ecnn1,5,test,5,AM,0.63427734375
2,ecnn1,5,test,5,PM,0.64501953125
2,ecnn1,6,val,1,AM,0.8603515625
2,ecnn1,6,val,1,PM,0.8212890625
2,ecnn1,6,val,2,AM,0.8349609375
2,ecnn1,6,val,2,PM,0.84619140625
2,ecnn1,6,test,3,AM,0.476318359375
2,ecnn1,6,test,3,PM,0.62060546875
2,ecnn1,6,test,4,AM,0.6005859375
2,ecnn1,6,test,4,PM,0.560546875
2,ecnn1,6,test,5,AM,0.255126953125
2,ecnn1,6,test,5,PM,0.45849609375
2,ecnn1,7,val,1,AM,0.68212890625
2,ecnn1,7,val,1,PM,0.74853515625
2,ecnn1,7,val,2,AM,0.66015625
2,ecnn1,7,val,2,PM,0.75048828125
2,ecnn1,7,test,3,AM,0.5830078125
2,ecnn1,7,test,3,PM,0.5810546875
2,ecnn1,7,test,4,AM,0.426513671875
2,ecnn1,7,test,4,PM,0.51025390625
2,ecnn1,7,test,5,AM,0.47998046875
2,ecnn1,7,test,5,PM,0.48974609375
2,ecnn1,8,val,1,AM,0.77734375
2,ecnn1,8,val,1,PM,0.70751953125
2,ecnn1,8,val,2,AM,0.68359375
2,ecnn1,8,val,2,PM,0.80615234375
2,ecnn1,8,test,3,AM,0.3056640625
2,ecnn1,8,test,3,PM,0.343017578125
2,ecnn1,8,test,4,AM,0.5185546875
2,ecnn1,8,test,4,PM,0.44775390625
2,ecnn1,8,test,5,AM,0.54443359375
2,ecnn1,8,test,5,PM,0.46337890625
2,ecnn1,10,val,1,AM,0.78857421875
2,ecnn1,10,val,1,PM,0.89111328125
2,ecnn1,10,val,2,AM,0.74853515625
2,ecnn1,10,val,2,PM,0.6845703125
2,ecnn1,10,test,3,AM,0.431640625
2,ecnn1,10,test,3,PM,0.394775390625
2,ecnn1,10,test,4,AM,0.421142578125
2,ecnn1,10,test,4,PM,0.64599609375
2,ecnn1,10,test,5,AM,0.468017578125
2,ecnn1,10,test,5,PM,0.322021484375
2,ecnn2,1,val,1,AM,0.6044921875
2,ecnn2,1,val,1,PM,0.59033203125
2,ecnn2,1,val,2,AM,0.6826171875
2,ecnn2,1,val,2,PM,0.64697265625
2,ecnn2,1,test,3,AM,0.58447265625
2,ecnn2,1,test,3,PM,0.418701171875
2,ecnn2,1,test,4,AM,0.6640625
2,ecnn2,1,test,4,PM,0.59814453125
2,ecnn2,1,test,5,AM,0.58154296875
2,ecnn2,1,test,5,PM,0.54638671875
2,ecnn2,3,val,1,AM,0.55029296875
2,ecnn2,3,val,1,PM,0.69482421875
2,ecnn2,3,val,2,AM,0.73095703125
2,ecnn2,3,val,2,PM,0.6923828125
2,ecnn2,3,test,3,AM,0.634765625
2,ecnn2,3,test,3,PM,0.4580078125
2,ecnn2,3,test,4,AM,0.46240234375
2,ecnn2,3,test,4,PM,0.435546875
2,ecnn2,3,test,5,AM,0.437255859375
2,ecnn2,3,test,5,PM,0.342529296875
2,ecnn2,4,val,1,AM,0.47607421875
2,ecnn2,4,val,1,PM,0.56689453125
2,ecnn2,4,val,2,AM,0.6298828125
2,ecnn2,4,val,2,PM,0.67724609375
2,ecnn2,4,test,3,AM,0.455322265625
2,ecnn2,4,test,3,PM,0.43505859375
2,ecnn2,4,test,4,AM,0.48681640625
2,ecnn2,4,test,4,PM,0.5361328125
2,ecnn2,4,test,5,AM,0.49169921875
2,ecnn2,4,test,5,PM,0.406005859375
2,ecnn2,5,val,1,AM,0.857421875
2,ecnn2,5,val,1,PM,0.7490234375
2,ecnn2,5,val,2,AM,0.7978515625
2,ecnn2,5,val,2,PM,0.7978515625
2,ecnn2,5,test,3,AM,0.53759765625
2,ecnn2,5,test,3,PM,0.662109375
2,ecnn2,5,test,4,AM,0.4697265625
2,ecnn2,5,test,4,PM,0.56201171875
2,ecnn2,5,test,5,AM,0.54345703125
2,ecnn2,5,test,5,PM,0.5341796875
2,ecnn2,6,val,1,AM,0.68994140625
2,ecnn2,6,val,1,PM,0.68017578125
2,ecnn2,6,val,2,AM,0.67138671875
2,ecnn2,6,val,2,PM,0.69287109375
2,ecnn2,6,test,3,AM,0.410888671875
2,ecnn2,6,test,3,PM,0.5615234375
2,ecnn2,6,test,4,AM,0.515625
2,ecnn2,6,test,4,PM,0.41455078125
2,ecnn2,6,test,5,AM,0.1978759765625
2,ecnn2,6,test,5,PM,0.36083984375
2,ecnn2,7,val,1,AM,0.468017578125
2,ecnn2,7,val,1,PM,0.56103515625
2,ecnn2,7,val,2,AM,0.486572265625
2,ecnn2,7,val,2,PM,0.56103515625
2,ecnn2,7,test,3,AM,0.422607421875
2,ecnn2,7,test,3,PM,0.4619140625
2,ecnn2,7,test,4,AM,0.39111328125
2,ecnn2,7,test,4,PM,0.40771484375
2,ecnn2,7,test,5,AM,0.43310546875
2,ecnn2,7,test,5,PM,0.437744140625
2,ecnn2,8,val,1,AM,0.693359375
2,ecnn2,8,val,1,PM,0.69970703125
2,ecnn2,8,val,2,AM,0.6455078125
2,ecnn2,8,val,2,PM,0.70458984375
2,ecnn2,8,test,3,AM,0.33837890625
2,ecnn2,8,test,3,PM,0.326416015625
2,ecnn2,8,test,4,AM,0.4736328125
2,ecnn2,8,test,4,PM,0.4140625
2,ecnn2,8,test,5,AM,0.455078125
2,ecnn2,8,test,5,PM,0.420654296875
2,ecnn2,10,val,1,AM,0.7197265625
2,ecnn2,10,val,1,PM,0.8095703125
2,ecnn2,10,val,2,AM,0.65771484375
2,ecnn2,10,val,2,PM,0.529296875
2,ecnn2,10,test,3,AM,0.443603515625
2,ecnn2,10,test,3,PM,0.408203125
2,ecnn2,10,test,4,AM,0.404052734375
2,ecnn2,10,test,4,PM,0.623046875
2,ecnn2,10,test,5,AM,0.49560546875
2,ecnn2,10,test,5,PM,0.35009765625
2,ecnn3,1,val,1,AM,0.7158203125
2,ecnn3,1,val,1,PM,0.74169921875
2,ecnn3,1,val,2,AM,0.75439453125
2,ecnn3,1,val,2,PM,0.7626953125
2,ecnn3,1,test,3,AM,0.66357421875
2,ecnn3,1,test,3,PM,0.5751953125
2,ecnn3,1,test,4,AM,0.70947265625
2,ecnn3,1,test,4,PM,0.701171875
2,ecnn3,1,test,5,AM,0.646484375
2,ecnn3,1,test,5,PM,0.62451171875
2,ecnn3,3,val,1,AM,0.6171875
2,ecnn3,3,val,1,PM,0.75390625
2,ecnn3,3,val,2,AM,0.78369140625
2,ecnn3,3,val,2,PM,0.80126953125
2,ecnn3,3,test,3,AM,0.66845703125
2,ecnn3,3,test,3,PM,0.431884765625
2,ecnn3,3,test,4,AM,0.419921875
2,ecnn3,3,test,4,PM,0.497802734375
2,ecnn3,3,test,5,AM,0.52783203125
2,ecnn3,3,test,5,PM,0.42578125
2,ecnn3,4,val,1,AM,0.7021484375
2,ecnn3,4,val,1,PM,0.73876953125
2,ecnn3,4,val,2,AM,0.74658203125
2,ecnn3,4,val,2,PM,0.79052734375
2,ecnn3,4,test,3,AM,0.389404296875
2,ecnn3,4,test,3,PM,0.373046875
